4,2,operator,jroesler,Jake Roesler,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,jroesler@mycompany.com
5,2,operator,slund,Signe Lund,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,slund@mycompany.com
6,2,operator,pkumar,Phillip Kumar,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,pkumar@mycompany.com
7,2,operator,hpompa,Hyman Pompa,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,hpompa@mycompany.com
8,2,operator,spangler,Sharolyn Spangler,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,spangler@mycompany.com
9,2,operator,nbeltz,Nga Beltz,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,beltz@mycompany.com
10,2,operator,rarzate,Reagan Arzate,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,rarzate@mycompany.com
11,2,operator,csouza,Cherise Souza,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,csouza@mycompany.com
12,2,operator,dburgess,Dee Burgess,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,dburgess@mycompany.com
13,2,operator,stsui,Starla Tsui,gr0upp455,,,2011-06-15 13:15:00,rpenfield,,,2011-06-15 13:15:00,stsui@mycompany.com
14,3,user,mtardy,Maurine Tardy,t3mpp455,,,2011-06-15 14:15:00,tmeldrum,,,2011-06-15 14:15:00,mtardy@mycompany.com
15,3,user,abarnum,Ariel Barnum,t3mpp455,,,2011-06-15 14:15:00,tmeldrum,,,2011-06-15 14:15:00,abarnum@mycompany.com
16,3,user,knygren,Kermit Nygren,t3mpp455,,,2011-06-15 14:15:00,tmeldrum,,,2011-06-15 14:15:00,knygren@mycompany.com
17,3,user,nnew,Nieves New,t3mpp455,,,2011-06-15 14:15:00,tmeldrum,,,2011-06-15 14:15:00,nnew@mycompany.com
